istituto,denominazione,comune,status,domain,pdf_url
TNCF005001,OPERA ARMIDA BARELLI - ROVERETO,ROVERETO,NOT_FOUND,,
NAIC80800G,BONGHI,NAPOLI,NOT_FOUND,,
CHIC80700E,P. D. POLLIDORI,FOSSACESIA,NOT_FOUND,,
FGIC85400C,DIREZIONE DIDATTICA + PASCOLI,MARGHERITA DI SAVOIA,NOT_FOUND,,
RMPL355003,MONS. TOZZI,ROMA,NOT_FOUND,,
UD1M00600L,G. BEARZI,UDINE,NOT_FOUND,,
NA1MU75009,MATER DEI,NAPOLI,NOT_FOUND,,
RAIC82800B,INTERCOMUNALE RAVENNA/CERVIA,RAVENNA,NOT_FOUND,,
PATDEE500L,NICCOLO' MACHIAVELLI,PALERMO,NOT_FOUND,,
CSPS18000D,LICEO SCIENTIFICO - LINGUISTICO PITAGORA,RENDE,NOT_FOUND,,
